boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
201610260LAL,"Wed, Oct 26, 2016",LAL,HOU,Los Angeles Lakers,Houston Rockets,120,114,6,Home,99.4,True,2017
201610280DAL,"Fri, Oct 28, 2016",DAL,HOU,Dallas Mavericks,Houston Rockets,98,106,-8,Home,93.1,True,2017
201610300HOU,"Sun, Oct 30, 2016",HOU,DAL,Houston Rockets,Dallas Mavericks,93,92,1,Home,91.5,True,2017
201611010CLE,"Tue, Nov 1, 2016",CLE,HOU,Cleveland Cavaliers,Houston Rockets,128,120,8,Home,92.8,True,2017
201611020NYK,"Wed, Nov 2, 2016",NYK,HOU,New York Knicks,Houston Rockets,99,118,-19,Home,100.2,True,2017
201611050ATL,"Sat, Nov 5, 2016",ATL,HOU,Atlanta Hawks,Houston Rockets,112,97,15,Home,101.4,True,2017
201611070WAS,"Mon, Nov 7, 2016",WAS,HOU,Washington Wizards,Houston Rockets,106,114,-8,Home,96.1,True,2017
201611090SAS,"Wed, Nov 9, 2016",SAS,HOU,San Antonio Spurs,Houston Rockets,99,101,-2,Home,95.4,True,2017
201611120HOU,"Sat, Nov 12, 2016",HOU,SAS,Houston Rockets,San Antonio Spurs,100,106,-6,Home,92.7,True,2017
201611140HOU,"Mon, Nov 14, 2016",HOU,PHI,Houston Rockets,Philadelphia 76ers,115,88,27,Home,96.7,True,2017
201611160OKC,"Wed, Nov 16, 2016",OKC,HOU,Oklahoma City Thunder,Houston Rockets,105,103,2,Home,100.1,True,2017
201611170HOU,"Thu, Nov 17, 2016",HOU,POR,Houston Rockets,Portland Trail Blazers,126,109,17,Home,99.3,True,2017
201611190HOU,"Sat, Nov 19, 2016",HOU,UTA,Houston Rockets,Utah Jazz,111,102,9,Home,91.7,True,2017
201611210DET,"Mon, Nov 21, 2016",DET,HOU,Detroit Pistons,Houston Rockets,96,99,-3,Home,93.0,True,2017
201611230HOU,"Wed, Nov 23, 2016",HOU,TOR,Houston Rockets,Toronto Raptors,102,115,-13,Home,94.3,True,2017
201611250SAC,"Fri, Nov 25, 2016",SAC,HOU,Sacramento Kings,Houston Rockets,104,117,-13,Home,97.7,True,2017
201611270POR,"Sun, Nov 27, 2016",POR,HOU,Portland Trail Blazers,Houston Rockets,114,130,-16,Home,97.5,True,2017
201611290UTA,"Tue, Nov 29, 2016",UTA,HOU,Utah Jazz,Houston Rockets,120,101,19,Home,88.0,True,2017
201612010GSW,"Thu, Dec 1, 2016",GSW,HOU,Golden State Warriors,Houston Rockets,127,132,-5,Home,100.1,True,2017
201612020DEN,"Fri, Dec 2, 2016",DEN,HOU,Denver Nuggets,Houston Rockets,110,128,-18,Home,98.4,True,2017
201612050HOU,"Mon, Dec 5, 2016",HOU,BOS,Houston Rockets,Boston Celtics,107,106,1,Home,99.3,True,2017
201612070HOU,"Wed, Dec 7, 2016",HOU,LAL,Houston Rockets,Los Angeles Lakers,134,95,39,Home,107.2,True,2017
201612090OKC,"Fri, Dec 9, 2016",OKC,HOU,Oklahoma City Thunder,Houston Rockets,99,102,-3,Home,100.6,True,2017
201612100HOU,"Sat, Dec 10, 2016",HOU,DAL,Houston Rockets,Dallas Mavericks,109,87,22,Home,86.8,True,2017
201612120HOU,"Mon, Dec 12, 2016",HOU,BRK,Houston Rockets,Brooklyn Nets,122,118,4,Home,106.5,True,2017
201612140HOU,"Wed, Dec 14, 2016",HOU,SAC,Houston Rockets,Sacramento Kings,132,98,34,Home,98.6,True,2017
201612160HOU,"Fri, Dec 16, 2016",HOU,NOP,Houston Rockets,New Orleans Pelicans,122,100,22,Home,101.5,True,2017
201612170MIN,"Sat, Dec 17, 2016",MIN,HOU,Minnesota Timberwolves,Houston Rockets,109,111,-2,Home,98.7,True,2017
201612200HOU,"Tue, Dec 20, 2016",HOU,SAS,Houston Rockets,San Antonio Spurs,100,102,-2,Home,95.5,True,2017
201612210PHO,"Wed, Dec 21, 2016",PHO,HOU,Phoenix Suns,Houston Rockets,111,125,-14,Home,94.5,True,2017
201612230MEM,"Fri, Dec 23, 2016",MEM,HOU,Memphis Grizzlies,Houston Rockets,115,109,6,Home,92.6,True,2017
201612260HOU,"Mon, Dec 26, 2016",HOU,PHO,Houston Rockets,Phoenix Suns,131,115,16,Home,111.8,True,2017
201612270DAL,"Tue, Dec 27, 2016",DAL,HOU,Dallas Mavericks,Houston Rockets,107,123,-16,Home,93.4,True,2017
201612300HOU,"Fri, Dec 30, 2016",HOU,LAC,Houston Rockets,Los Angeles Clippers,140,116,24,Home,103.1,True,2017
201612310HOU,"Sat, Dec 31, 2016",HOU,NYK,Houston Rockets,New York Knicks,129,122,7,Home,105.1,True,2017
201701020HOU,"Mon, Jan 2, 2017",HOU,WAS,Houston Rockets,Washington Wizards,101,91,10,Home,99.5,True,2017
201701050HOU,"Thu, Jan 5, 2017",HOU,OKC,Houston Rockets,Oklahoma City Thunder,118,116,2,Home,95.7,True,2017
201701060ORL,"Fri, Jan 6, 2017",ORL,HOU,Orlando Magic,Houston Rockets,93,100,-7,Home,91.0,True,2017
201701080TOR,"Sun, Jan 8, 2017",TOR,HOU,Toronto Raptors,Houston Rockets,122,129,-7,Home,104.3,True,2017
201701100HOU,"Tue, Jan 10, 2017",HOU,CHO,Houston Rockets,Charlotte Hornets,121,114,7,Home,99.8,True,2017
201701110MIN,"Wed, Jan 11, 2017",MIN,HOU,Minnesota Timberwolves,Houston Rockets,119,105,14,Home,100.1,True,2017
201701130HOU,"Fri, Jan 13, 2017",HOU,MEM,Houston Rockets,Memphis Grizzlies,105,110,-5,Home,97.9,True,2017
201701150BRK,"Sun, Jan 15, 2017",BRK,HOU,Brooklyn Nets,Houston Rockets,112,137,-25,Home,104.4,True,2017
201701170MIA,"Tue, Jan 17, 2017",MIA,HOU,Miami Heat,Houston Rockets,109,103,6,Home,104.5,True,2017
201701180HOU,"Wed, Jan 18, 2017",HOU,MIL,Houston Rockets,Milwaukee Bucks,111,92,19,Home,96.9,True,2017
201701200HOU,"Fri, Jan 20, 2017",HOU,GSW,Houston Rockets,Golden State Warriors,108,125,-17,Home,101.3,True,2017
201701210MEM,"Sat, Jan 21, 2017",MEM,HOU,Memphis Grizzlies,Houston Rockets,95,119,-24,Home,95.5,True,2017
201701230MIL,"Mon, Jan 23, 2017",MIL,HOU,Milwaukee Bucks,Houston Rockets,127,114,13,Home,102.5,True,2017
201701250BOS,"Wed, Jan 25, 2017",BOS,HOU,Boston Celtics,Houston Rockets,120,109,11,Home,101.3,True,2017
201701270PHI,"Fri, Jan 27, 2017",PHI,HOU,Philadelphia 76ers,Houston Rockets,118,123,-5,Home,108.6,True,2017
201701290IND,"Sun, Jan 29, 2017",IND,HOU,Indiana Pacers,Houston Rockets,120,101,19,Home,97.4,True,2017
201701310HOU,"Tue, Jan 31, 2017",HOU,SAC,Houston Rockets,Sacramento Kings,105,83,22,Home,96.5,True,2017
201702020HOU,"Thu, Feb 2, 2017",HOU,ATL,Houston Rockets,Atlanta Hawks,108,113,-5,Home,106.1,True,2017
201702030HOU,"Fri, Feb 3, 2017",HOU,CHI,Houston Rockets,Chicago Bulls,121,117,4,Home,97.8,True,2017
201702070HOU,"Tue, Feb 7, 2017",HOU,ORL,Houston Rockets,Orlando Magic,128,104,24,Home,101.7,True,2017
201702090CHO,"Thu, Feb 9, 2017",CHO,HOU,Charlotte Hornets,Houston Rockets,95,107,-12,Home,100.8,True,2017
201702110HOU,"Sat, Feb 11, 2017",HOU,PHO,Houston Rockets,Phoenix Suns,133,102,31,Home,107.3,True,2017
201702150HOU,"Wed, Feb 15, 2017",HOU,MIA,Houston Rockets,Miami Heat,109,117,-8,Home,90.9,True,2017
201702230NOP,"Thu, Feb 23, 2017",NOP,HOU,New Orleans Pelicans,Houston Rockets,99,129,-30,Home,103.7,True,2017
201702250HOU,"Sat, Feb 25, 2017",HOU,MIN,Houston Rockets,Minnesota Timberwolves,142,130,12,Home,106.4,True,2017
201702270HOU,"Mon, Feb 27, 2017",HOU,IND,Houston Rockets,Indiana Pacers,108,117,-9,Home,100.0,True,2017
201703010LAC,"Wed, Mar 1, 2017",LAC,HOU,Los Angeles Clippers,Houston Rockets,103,122,-19,Home,94.7,True,2017
201703040HOU,"Sat, Mar 4, 2017",HOU,MEM,Houston Rockets,Memphis Grizzlies,123,108,15,Home,97.2,True,2017
201703060SAS,"Mon, Mar 6, 2017",SAS,HOU,San Antonio Spurs,Houston Rockets,112,110,2,Home,97.2,True,2017
201703080HOU,"Wed, Mar 8, 2017",HOU,UTA,Houston Rockets,Utah Jazz,108,115,-7,Home,91.0,True,2017
201703100CHI,"Fri, Mar 10, 2017",CHI,HOU,Chicago Bulls,Houston Rockets,94,115,-21,Home,107.0,True,2017
201703120HOU,"Sun, Mar 12, 2017",HOU,CLE,Houston Rockets,Cleveland Cavaliers,117,112,5,Home,93.5,True,2017
201703150HOU,"Wed, Mar 15, 2017",HOU,LAL,Houston Rockets,Los Angeles Lakers,139,100,39,Home,109.6,True,2017
201703170NOP,"Fri, Mar 17, 2017",NOP,HOU,New Orleans Pelicans,Houston Rockets,128,112,16,Home,105.3,True,2017
201703180DEN,"Sat, Mar 18, 2017",DEN,HOU,Denver Nuggets,Houston Rockets,105,109,-4,Home,99.8,True,2017
201703200HOU,"Mon, Mar 20, 2017",HOU,DEN,Houston Rockets,Denver Nuggets,125,124,1,Home,104.9,True,2017
201703240HOU,"Fri, Mar 24, 2017",HOU,NOP,Houston Rockets,New Orleans Pelicans,117,107,10,Home,100.9,True,2017
201703260HOU,"Sun, Mar 26, 2017",HOU,OKC,Houston Rockets,Oklahoma City Thunder,137,125,12,Home,105.0,True,2017
201703280HOU,"Tue, Mar 28, 2017",HOU,GSW,Houston Rockets,Golden State Warriors,106,113,-7,Home,101.3,True,2017
201703300POR,"Thu, Mar 30, 2017",POR,HOU,Portland Trail Blazers,Houston Rockets,117,107,10,Home,99.3,True,2017
201703310GSW,"Fri, Mar 31, 2017",GSW,HOU,Golden State Warriors,Houston Rockets,107,98,9,Home,92.1,True,2017
201704020PHO,"Sun, Apr 2, 2017",PHO,HOU,Phoenix Suns,Houston Rockets,116,123,-7,Home,109.9,True,2017
201704050HOU,"Wed, Apr 5, 2017",HOU,DEN,Houston Rockets,Denver Nuggets,110,104,6,Home,107.7,True,2017
201704070HOU,"Fri, Apr 7, 2017",HOU,DET,Houston Rockets,Detroit Pistons,109,114,-5,Home,99.2,True,2017
201704090SAC,"Sun, Apr 9, 2017",SAC,HOU,Sacramento Kings,Houston Rockets,128,135,-7,Home,103.0,True,2017
201704100LAC,"Mon, Apr 10, 2017",LAC,HOU,Los Angeles Clippers,Houston Rockets,125,96,29,Home,98.6,True,2017
