boxscore_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202411200MEM,2024-11-20,MEM,PHI,Memphis Grizzlies,Philadelphia 76ers,117.0,111.0,6.0,Home,97.3,True,2025
202411200GSW,2024-11-20,GSW,ATL,Golden State Warriors,Atlanta Hawks,120.0,97.0,23.0,Home,110.6,True,2025
202411200PHO,2024-11-20,PHO,NYK,Phoenix Suns,New York Knicks,122.0,138.0,-16.0,Home,98.7,True,2025
202411200OKC,2024-11-20,OKC,POR,Oklahoma City Thunder,Portland Trail Blazers,109.0,99.0,10.0,Home,97.1,True,2025
202411200LAC,2024-11-20,LAC,ORL,Los Angeles Clippers,Orlando Magic,104.0,93.0,11.0,Home,94.8,True,2025
202411200MIL,2024-11-20,MIL,CHI,Milwaukee Bucks,Chicago Bulls,122.0,106.0,16.0,Home,96.4,True,2025
202411200CLE,2024-11-20,CLE,NOP,Cleveland Cavaliers,New Orleans Pelicans,128.0,100.0,28.0,Home,94.1,True,2025
202411210CHO,2024-11-21,CHO,DET,Charlotte Hornets,Detroit Pistons,123.0,121.0,2.0,Home,94.5,True,2025
202411210SAS,2024-11-21,SAS,UTA,San Antonio Spurs,Utah Jazz,126.0,118.0,8.0,Home,107.1,True,2025
202411210TOR,2024-11-21,TOR,MIN,Toronto Raptors,Minnesota Timberwolves,110.0,105.0,5.0,Home,96.9,True,2025
202411210LAL,2024-11-21,LAL,ORL,Los Angeles Lakers,Orlando Magic,118.0,119.0,-1.0,Home,97.8,True,2025
202411220HOU,2024-11-22,HOU,POR,Houston Rockets,Portland Trail Blazers,116.0,88.0,28.0,Home,104.2,True,2025
202411220DEN,2024-11-22,DEN,DAL,Denver Nuggets,Dallas Mavericks,120.0,123.0,-3.0,Home,100.3,True,2025
202411220NOP,2024-11-22,NOP,GSW,New Orleans Pelicans,Golden State Warriors,108.0,112.0,-4.0,Home,98.1,True,2025
202411220WAS,2024-11-22,WAS,BOS,Washington Wizards,Boston Celtics,96.0,108.0,-12.0,Home,101.3,True,2025
202411220LAC,2024-11-22,LAC,SAC,Los Angeles Clippers,Sacramento Kings,104.0,88.0,16.0,Home,99.4,True,2025
202411220CHI,2024-11-22,CHI,ATL,Chicago Bulls,Atlanta Hawks,136.0,122.0,14.0,Home,107.8,True,2025
202411220MIL,2024-11-22,MIL,IND,Milwaukee Bucks,Indiana Pacers,129.0,117.0,12.0,Home,104.1,True,2025
202411220PHI,2024-11-22,PHI,BRK,Philadelphia 76ers,Brooklyn Nets,113.0,98.0,15.0,Home,92.0,True,2025
202411230HOU,2024-11-23,HOU,POR,Houston Rockets,Portland Trail Blazers,98.0,104.0,-6.0,Home,96.0,True,2025
202411230MIL,2024-11-23,MIL,CHO,Milwaukee Bucks,Charlotte Hornets,125.0,119.0,6.0,Home,102.3,True,2025
202411230CHI,2024-11-23,CHI,MEM,Chicago Bulls,Memphis Grizzlies,131.0,142.0,-11.0,Home,103.7,True,2025
202411230SAS,2024-11-23,SAS,GSW,San Antonio Spurs,Golden State Warriors,104.0,94.0,10.0,Home,90.8,True,2025
202411230UTA,2024-11-23,UTA,NYK,Utah Jazz,New York Knicks,121.0,106.0,15.0,Home,101.1,True,2025
202411230ORL,2024-11-23,ORL,DET,Orlando Magic,Detroit Pistons,111.0,100.0,11.0,Home,89.6,True,2025
202411230LAL,2024-11-23,LAL,DEN,Los Angeles Lakers,Denver Nuggets,102.0,127.0,-25.0,Home,100.7,True,2025
202411240MIA,2024-11-24,MIA,DAL,Miami Heat,Dallas Mavericks,123.0,118.0,5.0,Home,102.1,True,2025
202411240IND,2024-11-24,IND,WAS,Indiana Pacers,Washington Wizards,115.0,103.0,12.0,Home,96.5,True,2025
202411240PHI,2024-11-24,PHI,LAC,Philadelphia 76ers,Los Angeles Clippers,99.0,125.0,-26.0,Home,95.4,True,2025
202411240BOS,2024-11-24,BOS,MIN,Boston Celtics,Minnesota Timberwolves,107.0,105.0,2.0,Home,90.6,True,2025
202411240SAC,2024-11-24,SAC,BRK,Sacramento Kings,Brooklyn Nets,103.0,108.0,-5.0,Home,92.5,True,2025
202411240CLE,2024-11-24,CLE,TOR,Cleveland Cavaliers,Toronto Raptors,122.0,108.0,14.0,Home,101.4,True,2025
202411250CHO,2024-11-25,CHO,ORL,Charlotte Hornets,Orlando Magic,84.0,95.0,-11.0,Home,93.7,True,2025
202411250MEM,2024-11-25,MEM,POR,Memphis Grizzlies,Portland Trail Blazers,123.0,98.0,25.0,Home,101.7,True,2025
202411250ATL,2024-11-25,ATL,DAL,Atlanta Hawks,Dallas Mavericks,119.0,129.0,-10.0,Home,109.7,True,2025
202411250GSW,2024-11-25,GSW,BRK,Golden State Warriors,Brooklyn Nets,120.0,128.0,-8.0,Home,99.7,True,2025
202411250DEN,2024-11-25,DEN,NYK,Denver Nuggets,New York Knicks,118.0,145.0,-27.0,Home,100.6,True,2025
202411250SAC,2024-11-25,SAC,OKC,Sacramento Kings,Oklahoma City Thunder,109.0,130.0,-21.0,Home,97.7,True,2025
202411250DET,2024-11-25,DET,TOR,Detroit Pistons,Toronto Raptors,102.0,100.0,2.0,Home,92.0,True,2025
202411250BOS,2024-11-25,BOS,LAC,Boston Celtics,Los Angeles Clippers,126.0,94.0,32.0,Home,98.1,True,2025
202411250IND,2024-11-25,IND,NOP,Indiana Pacers,New Orleans Pelicans,114.0,110.0,4.0,Home,102.5,True,2025
202411260MIN,2024-11-26,MIN,HOU,Minnesota Timberwolves,Houston Rockets,111.0,117.0,-6.0,Home,96.8,True,2025
202411260UTA,2024-11-26,UTA,SAS,Utah Jazz,San Antonio Spurs,115.0,128.0,-13.0,Home,99.5,True,2025
202411260WAS,2024-11-26,WAS,CHI,Washington Wizards,Chicago Bulls,108.0,127.0,-19.0,Home,108.3,True,2025
202411260MIA,2024-11-26,MIA,MIL,Miami Heat,Milwaukee Bucks,103.0,106.0,-3.0,Home,86.8,True,2025
202411260PHO,2024-11-26,PHO,LAL,Phoenix Suns,Los Angeles Lakers,127.0,100.0,27.0,Home,100.7,True,2025
202411270PHI,2024-11-27,PHI,HOU,Philadelphia 76ers,Houston Rockets,115.0,122.0,-7.0,Home,98.6,True,2025
202411270CHO,2024-11-27,CHO,MIA,Charlotte Hornets,Miami Heat,94.0,98.0,-4.0,Home,96.9,True,2025
202411270MEM,2024-11-27,MEM,DET,Memphis Grizzlies,Detroit Pistons,131.0,111.0,20.0,Home,105.2,True,2025
202411270SAS,2024-11-27,SAS,LAL,San Antonio Spurs,Los Angeles Lakers,101.0,119.0,-18.0,Home,93.9,True,2025
202411270DAL,2024-11-27,DAL,NYK,Dallas Mavericks,New York Knicks,129.0,114.0,15.0,Home,96.9,True,2025
202411270GSW,2024-11-27,GSW,OKC,Golden State Warriors,Oklahoma City Thunder,101.0,105.0,-4.0,Home,101.3,True,2025
202411270WAS,2024-11-27,WAS,LAC,Washington Wizards,Los Angeles Clippers,96.0,121.0,-25.0,Home,100.6,True,2025
202411270ORL,2024-11-27,ORL,CHI,Orlando Magic,Chicago Bulls,133.0,119.0,14.0,Home,104.4,True,2025
202411270IND,2024-11-27,IND,POR,Indiana Pacers,Portland Trail Blazers,121.0,114.0,7.0,Home,92.5,True,2025
202411270MIN,2024-11-27,MIN,SAC,Minnesota Timberwolves,Sacramento Kings,104.0,115.0,-11.0,Home,98.6,True,2025
202411270NOP,2024-11-27,NOP,TOR,New Orleans Pelicans,Toronto Raptors,93.0,119.0,-26.0,Home,103.7,True,2025
202411270CLE,2024-11-27,CLE,ATL,Cleveland Cavaliers,Atlanta Hawks,124.0,135.0,-11.0,Home,105.6,True,2025
202411270UTA,2024-11-27,UTA,DEN,Utah Jazz,Denver Nuggets,103.0,122.0,-19.0,Home,92.9,True,2025
