boxscore_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202210190ATL,"Wed, Oct 19, 2022",ATL,HOU,Atlanta Hawks,Houston Rockets,117,107,10,Home,102.4,True,2023
202210210HOU,"Fri, Oct 21, 2022",HOU,MEM,Houston Rockets,Memphis Grizzlies,122,129,-7,Home,103.1,True,2023
202210220MIL,"Sat, Oct 22, 2022",MIL,HOU,Milwaukee Bucks,Houston Rockets,125,105,20,Home,99.2,True,2023
202210240HOU,"Mon, Oct 24, 2022",HOU,UTA,Houston Rockets,Utah Jazz,114,108,6,Home,98.9,True,2023
202210260UTA,"Wed, Oct 26, 2022",UTA,HOU,Utah Jazz,Houston Rockets,109,101,8,Home,105.4,True,2023
202210280POR,"Fri, Oct 28, 2022",POR,HOU,Portland Trail Blazers,Houston Rockets,125,111,14,Home,100.5,True,2023
202210300PHO,"Sun, Oct 30, 2022",PHO,HOU,Phoenix Suns,Houston Rockets,124,109,15,Home,94.4,True,2023
202210310LAC,"Mon, Oct 31, 2022",LAC,HOU,Los Angeles Clippers,Houston Rockets,95,93,2,Home,99.3,True,2023
202211020HOU,"Wed, Nov 2, 2022",HOU,LAC,Houston Rockets,Los Angeles Clippers,101,109,-8,Home,97.0,True,2023
202211050MIN,"Sat, Nov 5, 2022",MIN,HOU,Minnesota Timberwolves,Houston Rockets,129,117,12,Home,103.0,True,2023
202211070ORL,"Mon, Nov 7, 2022",ORL,HOU,Orlando Magic,Houston Rockets,127,134,-7,Home,101.6,True,2023
202211090TOR,"Wed, Nov 9, 2022",TOR,HOU,Toronto Raptors,Houston Rockets,116,109,7,Home,95.7,True,2023
202211120NOP,"Sat, Nov 12, 2022",NOP,HOU,New Orleans Pelicans,Houston Rockets,119,106,13,Home,98.9,True,2023
202211140HOU,"Mon, Nov 14, 2022",HOU,LAC,Houston Rockets,Los Angeles Clippers,106,122,-16,Home,100.8,True,2023
202211160DAL,"Wed, Nov 16, 2022",DAL,HOU,Dallas Mavericks,Houston Rockets,92,101,-9,Home,96.2,True,2023
202211180HOU,"Fri, Nov 18, 2022",HOU,IND,Houston Rockets,Indiana Pacers,91,99,-8,Home,96.0,True,2023
202211200HOU,"Sun, Nov 20, 2022",HOU,GSW,Houston Rockets,Golden State Warriors,120,127,-7,Home,99.6,True,2023
202211250HOU,"Fri, Nov 25, 2022",HOU,ATL,Houston Rockets,Atlanta Hawks,128,122,6,Home,101.4,True,2023
202211260HOU,"Sat, Nov 26, 2022",HOU,OKC,Houston Rockets,Oklahoma City Thunder,118,105,13,Home,103.0,True,2023
202211280DEN,"Mon, Nov 28, 2022",DEN,HOU,Denver Nuggets,Houston Rockets,129,113,16,Home,97.0,True,2023
202211300DEN,"Wed, Nov 30, 2022",DEN,HOU,Denver Nuggets,Houston Rockets,120,100,20,Home,94.9,True,2023
202212020PHO,"Fri, Dec 2, 2022",PHO,HOU,Phoenix Suns,Houston Rockets,121,122,-1,Home,99.7,True,2023
202212030GSW,"Sat, Dec 3, 2022",GSW,HOU,Golden State Warriors,Houston Rockets,120,101,19,Home,95.6,True,2023
202212050HOU,"Mon, Dec 5, 2022",HOU,PHI,Houston Rockets,Philadelphia 76ers,132,123,9,Home,90.4,True,2023
202212080SAS,"Thu, Dec 8, 2022",SAS,HOU,San Antonio Spurs,Houston Rockets,118,109,9,Home,97.5,True,2023
202212110HOU,"Sun, Dec 11, 2022",HOU,MIL,Houston Rockets,Milwaukee Bucks,97,92,5,Home,96.8,True,2023
202212130HOU,"Tue, Dec 13, 2022",HOU,PHO,Houston Rockets,Phoenix Suns,111,97,14,Home,98.2,True,2023
202212150HOU,"Thu, Dec 15, 2022",HOU,MIA,Houston Rockets,Miami Heat,108,111,-3,Home,94.2,True,2023
202212170HOU,"Sat, Dec 17, 2022",HOU,POR,Houston Rockets,Portland Trail Blazers,95,107,-12,Home,93.2,True,2023
202212190HOU,"Mon, Dec 19, 2022",HOU,SAS,Houston Rockets,San Antonio Spurs,105,124,-19,Home,99.5,True,2023
202212210HOU,"Wed, Dec 21, 2022",HOU,ORL,Houston Rockets,Orlando Magic,110,116,-6,Home,102.0,True,2023
202212230HOU,"Fri, Dec 23, 2022",HOU,DAL,Houston Rockets,Dallas Mavericks,106,112,-6,Home,94.1,True,2023
202212260CHI,"Mon, Dec 26, 2022",CHI,HOU,Chicago Bulls,Houston Rockets,118,133,-15,Home,100.2,True,2023
202212270BOS,"Tue, Dec 27, 2022",BOS,HOU,Boston Celtics,Houston Rockets,126,102,24,Home,99.3,True,2023
202212290DAL,"Thu, Dec 29, 2022",DAL,HOU,Dallas Mavericks,Houston Rockets,129,114,15,Home,101.4,True,2023
202212310HOU,"Sat, Dec 31, 2022",HOU,NYK,Houston Rockets,New York Knicks,88,108,-20,Home,95.8,True,2023
202301020HOU,"Mon, Jan 2, 2023",HOU,DAL,Houston Rockets,Dallas Mavericks,106,111,-5,Home,94.1,True,2023
202301040NOP,"Wed, Jan 4, 2023",NOP,HOU,New Orleans Pelicans,Houston Rockets,119,108,11,Home,97.7,True,2023
202301050HOU,"Thu, Jan 5, 2023",HOU,UTA,Houston Rockets,Utah Jazz,114,131,-17,Home,99.2,True,2023
202301080HOU,"Sun, Jan 8, 2023",HOU,MIN,Houston Rockets,Minnesota Timberwolves,96,104,-8,Home,97.1,True,2023
202301110SAC,"Wed, Jan 11, 2023",SAC,HOU,Sacramento Kings,Houston Rockets,135,115,20,Home,105.7,True,2023
202301130SAC,"Fri, Jan 13, 2023",SAC,HOU,Sacramento Kings,Houston Rockets,139,114,25,Home,98.7,True,2023
202301150LAC,"Sun, Jan 15, 2023",LAC,HOU,Los Angeles Clippers,Houston Rockets,121,100,21,Home,100.4,True,2023
202301160LAL,"Mon, Jan 16, 2023",LAL,HOU,Los Angeles Lakers,Houston Rockets,140,132,8,Home,98.8,True,2023
202301180HOU,"Wed, Jan 18, 2023",HOU,CHO,Houston Rockets,Charlotte Hornets,117,122,-5,Home,102.8,True,2023
202301210MIN,"Sat, Jan 21, 2023",MIN,HOU,Minnesota Timberwolves,Houston Rockets,113,104,9,Home,98.9,True,2023
202301230HOU,"Mon, Jan 23, 2023",HOU,MIN,Houston Rockets,Minnesota Timberwolves,119,114,5,Home,105.7,True,2023
202301250HOU,"Wed, Jan 25, 2023",HOU,WAS,Houston Rockets,Washington Wizards,103,108,-5,Home,98.0,True,2023
202301260HOU,"Thu, Jan 26, 2023",HOU,CLE,Houston Rockets,Cleveland Cavaliers,95,113,-18,Home,93.9,True,2023
