boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
201810170HOU,"Wed, Oct 17, 2018",HOU,NOP,Houston Rockets,New Orleans Pelicans,112,131,-19,Home,103.0,True,2019
201810200LAL,"Sat, Oct 20, 2018",LAL,HOU,Los Angeles Lakers,Houston Rockets,115,124,-9,Home,108.1,True,2019
201810210LAC,"Sun, Oct 21, 2018",LAC,HOU,Los Angeles Clippers,Houston Rockets,115,112,3,Home,98.9,True,2019
201810240HOU,"Wed, Oct 24, 2018",HOU,UTA,Houston Rockets,Utah Jazz,89,100,-11,Home,95.4,True,2019
201810260HOU,"Fri, Oct 26, 2018",HOU,LAC,Houston Rockets,Los Angeles Clippers,113,133,-20,Home,102.7,True,2019
201810300HOU,"Tue, Oct 30, 2018",HOU,POR,Houston Rockets,Portland Trail Blazers,85,104,-19,Home,96.0,True,2019
201811020BRK,"Fri, Nov 2, 2018",BRK,HOU,Brooklyn Nets,Houston Rockets,111,119,-8,Home,92.4,True,2019
201811030CHI,"Sat, Nov 3, 2018",CHI,HOU,Chicago Bulls,Houston Rockets,88,96,-8,Home,96.6,True,2019
201811050IND,"Mon, Nov 5, 2018",IND,HOU,Indiana Pacers,Houston Rockets,94,98,-4,Home,93.3,True,2019
201811080OKC,"Thu, Nov 8, 2018",OKC,HOU,Oklahoma City Thunder,Houston Rockets,98,80,18,Home,89.1,True,2019
201811100SAS,"Sat, Nov 10, 2018",SAS,HOU,San Antonio Spurs,Houston Rockets,96,89,7,Home,91.4,True,2019
201811110HOU,"Sun, Nov 11, 2018",HOU,IND,Houston Rockets,Indiana Pacers,115,103,12,Home,94.1,True,2019
201811130DEN,"Tue, Nov 13, 2018",DEN,HOU,Denver Nuggets,Houston Rockets,99,109,-10,Home,89.2,True,2019
201811150HOU,"Thu, Nov 15, 2018",HOU,GSW,Houston Rockets,Golden State Warriors,107,86,21,Home,85.9,True,2019
201811170HOU,"Sat, Nov 17, 2018",HOU,SAC,Houston Rockets,Sacramento Kings,132,112,20,Home,105.1,True,2019
201811210HOU,"Wed, Nov 21, 2018",HOU,DET,Houston Rockets,Detroit Pistons,126,124,2,Home,97.6,True,2019
201811230DET,"Fri, Nov 23, 2018",DET,HOU,Detroit Pistons,Houston Rockets,116,111,5,Home,90.5,True,2019
201811240CLE,"Sat, Nov 24, 2018",CLE,HOU,Cleveland Cavaliers,Houston Rockets,117,108,9,Home,92.2,True,2019
201811260WAS,"Mon, Nov 26, 2018",WAS,HOU,Washington Wizards,Houston Rockets,135,131,4,Home,95.6,True,2019
201811280HOU,"Wed, Nov 28, 2018",HOU,DAL,Houston Rockets,Dallas Mavericks,108,128,-20,Home,95.1,True,2019
201811300SAS,"Fri, Nov 30, 2018",SAS,HOU,San Antonio Spurs,Houston Rockets,105,136,-31,Home,96.4,True,2019
201812010HOU,"Sat, Dec 1, 2018",HOU,CHI,Houston Rockets,Chicago Bulls,121,105,16,Home,103.1,True,2019
201812030MIN,"Mon, Dec 3, 2018",MIN,HOU,Minnesota Timberwolves,Houston Rockets,103,91,12,Home,92.0,True,2019
201812060UTA,"Thu, Dec 6, 2018",UTA,HOU,Utah Jazz,Houston Rockets,118,91,27,Home,99.7,True,2019
201812080DAL,"Sat, Dec 8, 2018",DAL,HOU,Dallas Mavericks,Houston Rockets,107,104,3,Home,89.6,True,2019
201812110HOU,"Tue, Dec 11, 2018",HOU,POR,Houston Rockets,Portland Trail Blazers,111,104,7,Home,91.8,True,2019
201812130HOU,"Thu, Dec 13, 2018",HOU,LAL,Houston Rockets,Los Angeles Lakers,126,111,15,Home,94.0,True,2019
201812150MEM,"Sat, Dec 15, 2018",MEM,HOU,Memphis Grizzlies,Houston Rockets,97,105,-8,Home,88.8,True,2019
201812170HOU,"Mon, Dec 17, 2018",HOU,UTA,Houston Rockets,Utah Jazz,102,97,5,Home,104.0,True,2019
201812190HOU,"Wed, Dec 19, 2018",HOU,WAS,Houston Rockets,Washington Wizards,136,118,18,Home,99.4,True,2019
201812200MIA,"Thu, Dec 20, 2018",MIA,HOU,Miami Heat,Houston Rockets,101,99,2,Home,92.7,True,2019
201812220HOU,"Sat, Dec 22, 2018",HOU,SAS,Houston Rockets,San Antonio Spurs,108,101,7,Home,93.8,True,2019
201812250HOU,"Tue, Dec 25, 2018",HOU,OKC,Houston Rockets,Oklahoma City Thunder,113,109,4,Home,103.0,True,2019
201812270HOU,"Thu, Dec 27, 2018",HOU,BOS,Houston Rockets,Boston Celtics,127,113,14,Home,97.4,True,2019
201812290NOP,"Sat, Dec 29, 2018",NOP,HOU,New Orleans Pelicans,Houston Rockets,104,108,-4,Home,98.5,True,2019
201812310HOU,"Mon, Dec 31, 2018",HOU,MEM,Houston Rockets,Memphis Grizzlies,113,101,12,Home,95.7,True,2019
201901030GSW,"Thu, Jan 3, 2019",GSW,HOU,Golden State Warriors,Houston Rockets,134,135,-1,Home,98.1,True,2019
201901050POR,"Sat, Jan 5, 2019",POR,HOU,Portland Trail Blazers,Houston Rockets,110,101,9,Home,90.0,True,2019
201901070HOU,"Mon, Jan 7, 2019",HOU,DEN,Houston Rockets,Denver Nuggets,125,113,12,Home,99.4,True,2019
201901090HOU,"Wed, Jan 9, 2019",HOU,MIL,Houston Rockets,Milwaukee Bucks,109,116,-7,Home,101.2,True,2019
201901110HOU,"Fri, Jan 11, 2019",HOU,CLE,Houston Rockets,Cleveland Cavaliers,141,113,28,Home,106.5,True,2019
201901130ORL,"Sun, Jan 13, 2019",ORL,HOU,Orlando Magic,Houston Rockets,116,109,7,Home,94.6,True,2019
201901140HOU,"Mon, Jan 14, 2019",HOU,MEM,Houston Rockets,Memphis Grizzlies,112,94,18,Home,96.1,True,2019
201901160HOU,"Wed, Jan 16, 2019",HOU,BRK,Houston Rockets,Brooklyn Nets,142,145,-3,Home,102.8,True,2019
201901190HOU,"Sat, Jan 19, 2019",HOU,LAL,Houston Rockets,Los Angeles Lakers,138,134,4,Home,99.6,True,2019
201901210PHI,"Mon, Jan 21, 2019",PHI,HOU,Philadelphia 76ers,Houston Rockets,121,93,28,Home,102.1,True,2019
201901230NYK,"Wed, Jan 23, 2019",NYK,HOU,New York Knicks,Houston Rockets,110,114,-4,Home,100.0,True,2019
201901250HOU,"Fri, Jan 25, 2019",HOU,TOR,Houston Rockets,Toronto Raptors,121,119,2,Home,102.3,True,2019
201901270HOU,"Sun, Jan 27, 2019",HOU,ORL,Houston Rockets,Orlando Magic,103,98,5,Home,97.1,True,2019
201901290HOU,"Tue, Jan 29, 2019",HOU,NOP,Houston Rockets,New Orleans Pelicans,116,121,-5,Home,104.1,True,2019
201902010DEN,"Fri, Feb 1, 2019",DEN,HOU,Denver Nuggets,Houston Rockets,136,122,14,Home,89.2,True,2019
201902020UTA,"Sat, Feb 2, 2019",UTA,HOU,Utah Jazz,Houston Rockets,98,125,-27,Home,106.0,True,2019
201902040PHO,"Mon, Feb 4, 2019",PHO,HOU,Phoenix Suns,Houston Rockets,110,118,-8,Home,97.0,True,2019
201902060SAC,"Wed, Feb 6, 2019",SAC,HOU,Sacramento Kings,Houston Rockets,101,127,-26,Home,100.1,True,2019
201902090HOU,"Sat, Feb 9, 2019",HOU,OKC,Houston Rockets,Oklahoma City Thunder,112,117,-5,Home,104.0,True,2019
201902110HOU,"Mon, Feb 11, 2019",HOU,DAL,Houston Rockets,Dallas Mavericks,120,104,16,Home,95.6,True,2019
201902130MIN,"Wed, Feb 13, 2019",MIN,HOU,Minnesota Timberwolves,Houston Rockets,121,111,10,Home,93.2,True,2019
201902210LAL,"Thu, Feb 21, 2019",LAL,HOU,Los Angeles Lakers,Houston Rockets,111,106,5,Home,103.0,True,2019
201902230GSW,"Sat, Feb 23, 2019",GSW,HOU,Golden State Warriors,Houston Rockets,112,118,-6,Home,103.3,True,2019
201902250HOU,"Mon, Feb 25, 2019",HOU,ATL,Houston Rockets,Atlanta Hawks,119,111,8,Home,96.2,True,2019
201902270CHO,"Wed, Feb 27, 2019",CHO,HOU,Charlotte Hornets,Houston Rockets,113,118,-5,Home,102.3,True,2019
201902280HOU,"Thu, Feb 28, 2019",HOU,MIA,Houston Rockets,Miami Heat,121,118,3,Home,94.4,True,2019
201903030BOS,"Sun, Mar 3, 2019",BOS,HOU,Boston Celtics,Houston Rockets,104,115,-11,Home,93.4,True,2019
201903050TOR,"Tue, Mar 5, 2019",TOR,HOU,Toronto Raptors,Houston Rockets,95,107,-12,Home,90.2,True,2019
201903080HOU,"Fri, Mar 8, 2019",HOU,PHI,Houston Rockets,Philadelphia 76ers,107,91,16,Home,99.3,True,2019
201903100DAL,"Sun, Mar 10, 2019",DAL,HOU,Dallas Mavericks,Houston Rockets,93,94,-1,Home,91.9,True,2019
201903110HOU,"Mon, Mar 11, 2019",HOU,CHO,Houston Rockets,Charlotte Hornets,118,106,12,Home,99.3,True,2019
201903130HOU,"Wed, Mar 13, 2019",HOU,GSW,Houston Rockets,Golden State Warriors,104,106,-2,Home,89.9,True,2019
201903150HOU,"Fri, Mar 15, 2019",HOU,PHO,Houston Rockets,Phoenix Suns,108,102,6,Home,102.1,True,2019
201903170HOU,"Sun, Mar 17, 2019",HOU,MIN,Houston Rockets,Minnesota Timberwolves,117,102,15,Home,97.3,True,2019
201903190ATL,"Tue, Mar 19, 2019",ATL,HOU,Atlanta Hawks,Houston Rockets,105,121,-16,Home,98.7,True,2019
201903200MEM,"Wed, Mar 20, 2019",MEM,HOU,Memphis Grizzlies,Houston Rockets,126,125,1,Home,92.7,True,2019
201903220HOU,"Fri, Mar 22, 2019",HOU,SAS,Houston Rockets,San Antonio Spurs,111,105,6,Home,98.4,True,2019
201903240NOP,"Sun, Mar 24, 2019",NOP,HOU,New Orleans Pelicans,Houston Rockets,90,113,-23,Home,93.2,True,2019
201903260MIL,"Tue, Mar 26, 2019",MIL,HOU,Milwaukee Bucks,Houston Rockets,108,94,14,Home,104.1,True,2019
201903280HOU,"Thu, Mar 28, 2019",HOU,DEN,Houston Rockets,Denver Nuggets,112,85,27,Home,94.2,True,2019
201903300HOU,"Sat, Mar 30, 2019",HOU,SAC,Houston Rockets,Sacramento Kings,119,108,11,Home,94.5,True,2019
201904020SAC,"Tue, Apr 2, 2019",SAC,HOU,Sacramento Kings,Houston Rockets,105,130,-25,Home,97.2,True,2019
201904030LAC,"Wed, Apr 3, 2019",LAC,HOU,Los Angeles Clippers,Houston Rockets,103,135,-32,Home,101.9,True,2019
201904050HOU,"Fri, Apr 5, 2019",HOU,NYK,Houston Rockets,New York Knicks,120,96,24,Home,104.2,True,2019
201904070HOU,"Sun, Apr 7, 2019",HOU,PHO,Houston Rockets,Phoenix Suns,149,113,36,Home,104.9,True,2019
201904090OKC,"Tue, Apr 9, 2019",OKC,HOU,Oklahoma City Thunder,Houston Rockets,112,111,1,Home,95.8,True,2019
201904140HOU,"Sun, Apr 14, 2019",HOU,UTA,Houston Rockets,Utah Jazz,122,90,32,Home,98.7,True,2019
201904170HOU,"Wed, Apr 17, 2019",HOU,UTA,Houston Rockets,Utah Jazz,118,98,20,Home,100.3,True,2019
201904200UTA,"Sat, Apr 20, 2019",UTA,HOU,Utah Jazz,Houston Rockets,101,104,-3,Home,100.9,True,2019
201904220UTA,"Mon, Apr 22, 2019",UTA,HOU,Utah Jazz,Houston Rockets,107,91,16,Home,91.6,True,2019
201904240HOU,"Wed, Apr 24, 2019",HOU,UTA,Houston Rockets,Utah Jazz,100,93,7,Home,97.9,True,2019
201904280GSW,"Sun, Apr 28, 2019",GSW,HOU,Golden State Warriors,Houston Rockets,104,100,4,Home,95.5,True,2019
201904300GSW,"Tue, Apr 30, 2019",GSW,HOU,Golden State Warriors,Houston Rockets,115,109,6,Home,92.7,True,2019
201905040HOU,"Sat, May 4, 2019",HOU,GSW,Houston Rockets,Golden State Warriors,126,121,5,Home,91.8,True,2019
201905060HOU,"Mon, May 6, 2019",HOU,GSW,Houston Rockets,Golden State Warriors,112,108,4,Home,99.1,True,2019
201905080GSW,"Wed, May 8, 2019",GSW,HOU,Golden State Warriors,Houston Rockets,104,99,5,Home,93.4,True,2019
201905100HOU,"Fri, May 10, 2019",HOU,GSW,Houston Rockets,Golden State Warriors,113,118,-5,Home,96.8,True,2019
201810190NOP,"Fri, Oct 19, 2018",NOP,SAC,New Orleans Pelicans,Sacramento Kings,149,129,20,Home,111.3,True,2019
201810230NOP,"Tue, Oct 23, 2018",NOP,LAC,New Orleans Pelicans,Los Angeles Clippers,116,109,7,Home,103.7,True,2019
201810260NOP,"Fri, Oct 26, 2018",NOP,BRK,New Orleans Pelicans,Brooklyn Nets,117,115,2,Home,102.5,True,2019
201810270NOP,"Sat, Oct 27, 2018",NOP,UTA,New Orleans Pelicans,Utah Jazz,111,132,-21,Home,108.6,True,2019
201810290DEN,"Mon, Oct 29, 2018",DEN,NOP,Denver Nuggets,New Orleans Pelicans,116,111,5,Home,104.5,True,2019
201810310GSW,"Wed, Oct 31, 2018",GSW,NOP,Golden State Warriors,New Orleans Pelicans,131,121,10,Home,104.8,True,2019
201811010POR,"Thu, Nov 1, 2018",POR,NOP,Portland Trail Blazers,New Orleans Pelicans,132,119,13,Home,104.5,True,2019
201811030SAS,"Sat, Nov 3, 2018",SAS,NOP,San Antonio Spurs,New Orleans Pelicans,109,95,14,Home,100.2,True,2019
201811050OKC,"Mon, Nov 5, 2018",OKC,NOP,Oklahoma City Thunder,New Orleans Pelicans,122,116,6,Home,105.4,True,2019
201811070NOP,"Wed, Nov 7, 2018",NOP,CHI,New Orleans Pelicans,Chicago Bulls,107,98,9,Home,104.4,True,2019
201811100NOP,"Sat, Nov 10, 2018",NOP,PHO,New Orleans Pelicans,Phoenix Suns,119,99,20,Home,97.4,True,2019
201811120TOR,"Mon, Nov 12, 2018",TOR,NOP,Toronto Raptors,New Orleans Pelicans,110,126,-16,Home,101.2,True,2019
201811140MIN,"Wed, Nov 14, 2018",MIN,NOP,Minnesota Timberwolves,New Orleans Pelicans,107,100,7,Home,104.0,True,2019
