boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
201210310DET,"Wed, Oct 31, 2012",DET,HOU,Detroit Pistons,Houston Rockets,96,105,-9,Home,94.6,True,2013
201211020ATL,"Fri, Nov 2, 2012",ATL,HOU,Atlanta Hawks,Houston Rockets,102,109,-7,Home,97.4,True,2013
201211030HOU,"Sat, Nov 3, 2012",HOU,POR,Houston Rockets,Portland Trail Blazers,85,95,-10,Home,93.0,True,2013
201211070HOU,"Wed, Nov 7, 2012",HOU,DEN,Houston Rockets,Denver Nuggets,87,93,-6,Home,93.1,True,2013
201211090MEM,"Fri, Nov 9, 2012",MEM,HOU,Memphis Grizzlies,Houston Rockets,93,85,8,Home,89.5,True,2013
201211100HOU,"Sat, Nov 10, 2012",HOU,DET,Houston Rockets,Detroit Pistons,96,82,14,Home,93.1,True,2013
201211120HOU,"Mon, Nov 12, 2012",HOU,MIA,Houston Rockets,Miami Heat,110,113,-3,Home,92.6,True,2013
201211140HOU,"Wed, Nov 14, 2012",HOU,NOH,Houston Rockets,New Orleans Hornets,100,96,4,Home,90.8,True,2013
201211160POR,"Fri, Nov 16, 2012",POR,HOU,Portland Trail Blazers,Houston Rockets,119,117,2,Home,91.2,True,2013
201211180LAL,"Sun, Nov 18, 2012",LAL,HOU,Los Angeles Lakers,Houston Rockets,119,108,11,Home,99.7,True,2013
201211190UTA,"Mon, Nov 19, 2012",UTA,HOU,Utah Jazz,Houston Rockets,102,91,11,Home,97.2,True,2013
201211210HOU,"Wed, Nov 21, 2012",HOU,CHI,Houston Rockets,Chicago Bulls,93,89,4,Home,98.1,True,2013
201211230HOU,"Fri, Nov 23, 2012",HOU,NYK,Houston Rockets,New York Knicks,131,103,28,Home,99.6,True,2013
201211270HOU,"Tue, Nov 27, 2012",HOU,TOR,Houston Rockets,Toronto Raptors,117,101,16,Home,94.0,True,2013
201211280OKC,"Wed, Nov 28, 2012",OKC,HOU,Oklahoma City Thunder,Houston Rockets,120,98,22,Home,94.9,True,2013
201212010HOU,"Sat, Dec 1, 2012",HOU,UTA,Houston Rockets,Utah Jazz,124,116,8,Home,98.0,True,2013
201212040HOU,"Tue, Dec 4, 2012",HOU,LAL,Houston Rockets,Los Angeles Lakers,107,105,2,Home,98.8,True,2013
201212070SAS,"Fri, Dec 7, 2012",SAS,HOU,San Antonio Spurs,Houston Rockets,114,92,22,Home,103.2,True,2013
201212080HOU,"Sat, Dec 8, 2012",HOU,DAL,Houston Rockets,Dallas Mavericks,109,116,-7,Home,100.8,True,2013
201212100HOU,"Mon, Dec 10, 2012",HOU,SAS,Houston Rockets,San Antonio Spurs,126,134,-8,Home,102.6,True,2013
201212120HOU,"Wed, Dec 12, 2012",HOU,WAS,Houston Rockets,Washington Wizards,99,93,6,Home,99.1,True,2013
201212140HOU,"Fri, Dec 14, 2012",HOU,BOS,Houston Rockets,Boston Celtics,101,89,12,Home,94.0,True,2013
201212160TOR,"Sun, Dec 16, 2012",TOR,HOU,Toronto Raptors,Houston Rockets,103,96,7,Home,94.1,True,2013
201212170NYK,"Mon, Dec 17, 2012",NYK,HOU,New York Knicks,Houston Rockets,96,109,-13,Home,98.6,True,2013
201212190HOU,"Wed, Dec 19, 2012",HOU,PHI,Houston Rockets,Philadelphia 76ers,125,103,22,Home,93.0,True,2013
201212220HOU,"Sat, Dec 22, 2012",HOU,MEM,Houston Rockets,Memphis Grizzlies,121,96,25,Home,96.4,True,2013
201212250CHI,"Tue, Dec 25, 2012",CHI,HOU,Chicago Bulls,Houston Rockets,97,120,-23,Home,92.0,True,2013
201212260MIN,"Wed, Dec 26, 2012",MIN,HOU,Minnesota Timberwolves,Houston Rockets,84,87,-3,Home,93.5,True,2013
201212280SAS,"Fri, Dec 28, 2012",SAS,HOU,San Antonio Spurs,Houston Rockets,122,116,6,Home,104.5,True,2013
201212290HOU,"Sat, Dec 29, 2012",HOU,OKC,Houston Rockets,Oklahoma City Thunder,94,124,-30,Home,110.1,True,2013
201212310HOU,"Mon, Dec 31, 2012",HOU,ATL,Houston Rockets,Atlanta Hawks,123,104,19,Home,99.5,True,2013
201301020HOU,"Wed, Jan 2, 2013",HOU,NOH,Houston Rockets,New Orleans Hornets,104,92,12,Home,92.4,True,2013
201301040MIL,"Fri, Jan 4, 2013",MIL,HOU,Milwaukee Bucks,Houston Rockets,101,115,-14,Home,101.4,True,2013
201301050CLE,"Sat, Jan 5, 2013",CLE,HOU,Cleveland Cavaliers,Houston Rockets,104,112,-8,Home,95.5,True,2013
201301080HOU,"Tue, Jan 8, 2013",HOU,LAL,Houston Rockets,Los Angeles Lakers,125,112,13,Home,102.6,True,2013
201301090NOH,"Wed, Jan 9, 2013",NOH,HOU,New Orleans Hornets,Houston Rockets,88,79,9,Home,89.0,True,2013
201301110BOS,"Fri, Jan 11, 2013",BOS,HOU,Boston Celtics,Houston Rockets,103,91,12,Home,92.6,True,2013
