team,rating,year
SAC,-2.6949059312725816,2016
UTA,2.974057169857052,2016
DET,-1.0360707509321436,2016
CHO,0.6561514856409828,2016
PHO,-4.897950292374907,2016
ATL,2.989891427258541,2016
GSW,7.322826541003613,2016
MEM,-6.941415922847213,2016
NYK,-5.535001802553891,2016
MIL,-6.886884459154445,2016
BOS,-1.4829142984652706,2016
IND,-0.5942422555201545,2016
POR,1.8889133133330234,2016
DEN,-4.897191350936235,2016
DAL,0.3897100299883556,2016
TOR,0.9686606455625331,2016
PHI,-10.742232953666313,2016
ORL,-2.6991379698065527,2016
NOP,-7.399265104872209,2016
CLE,6.489317537316694,2016
LAL,-10.87736938357428,2016
HOU,-0.07249425720194896,2016
SAS,6.534173300264728,2016
MIA,1.9989913821832723,2016
WAS,1.504327592105771,2016
OKC,8.898805842364075,2016
BRK,-10.208853253657157,2016
MIN,-1.814726083274803,2016
CHI,-3.7741100800023197,2016
LAC,2.4194078103872965,2016
