team,rating,year
ORL,-8.008261633966837,2022
BOS,8.426428187800916,2022
OKC,-8.944861295441521,2022
MIL,2.2590718295385472,2022
LAL,-5.196431611768814,2022
WAS,-5.579206296041863,2022
HOU,-7.903150423237952,2022
DEN,-1.4936773383505222,2022
SAS,-2.796841984267079,2022
MEM,5.361741109877045,2022
CLE,-4.119058920332437,2022
LAC,-0.7654770994982192,2022
NOP,-1.0490056172908748,2022
ATL,1.6059685356915279,2022
CHI,-6.201840448940759,2022
MIN,0.9023608431532465,2022
DET,-4.208981861893058,2022
TOR,2.430731778963713,2022
DAL,2.7345360845557223,2022
BRK,3.6475708792976422,2022
UTA,1.210701375659211,2022
MIA,3.585138159266958,2022
IND,-5.771815260317687,2022
CHO,2.921963410923624,2022
PHO,3.229028018040285,2022
POR,-15.021986564131279,2022
SAC,-6.515357071652523,2022
GSW,6.275121846252366,2022
PHI,2.386452079055456,2022
NYK,1.9599476078544562,2022
