team,rating,year
GSW,-3.35702115646584,2010
BOS,3.1991499459969206,2010
SAS,4.711885377310774,2010
CLE,2.72243435319117,2010
DET,-6.0909702755273445,2010
CHA,1.0272590489646023,2010
IND,1.846480334175503,2010
MEM,-3.792182495919188,2010
LAL,3.6126959956284495,2010
WAS,-5.397255446010951,2010
UTA,1.9429690178123213,2010
MIA,2.3174878623969426,2010
OKC,2.862745731320873,2010
MIL,-0.17354817739172676,2010
MIN,-10.260006875323603,2010
PHI,-6.430165492120797,2010
HOU,-2.28062289396364,2010
NOH,-5.885812538277713,2010
POR,1.9803627096569538,2010
ATL,2.001465485588588,2010
ORL,8.868792098542647,2010
NJN,-6.24607764931761,2010
PHO,6.939181011227515,2010
SAC,-6.7522030737698575,2010
TOR,-4.341365768189524,2010
NYK,-3.488641737821882,2010
CHI,-1.085455279615062,2010
DEN,0.5286514414928457,2010
LAC,-9.638557742971066,2010
DAL,1.92763886046553,2010
