team,rating,year
NOH,-5.28190082688705,2013
IND,2.0161036827381578,2013
CLE,-8.553030719193089,2013
DAL,-0.7281637577263204,2013
POR,-6.365816719825117,2013
LAL,-1.8149419087577914,2013
UTA,1.1500677003795352,2013
DET,-3.929326910243333,2013
MIA,6.123681015716849,2013
SAS,4.791321414024209,2013
ATL,-2.3178548186707295,2013
HOU,0.9684296501001877,2013
WAS,-0.8965573635460674,2013
TOR,-3.176325094087892,2013
GSW,2.8814626567129324,2013
BOS,-2.208044712075949,2013
PHO,-8.001862687590664,2013
NYK,3.7738916140129706,2013
SAC,-1.7258704809821033,2013
CHA,-6.515854957461164,2013
MIN,-1.5647973480144477,2013
CHI,-0.9514212680186083,2013
OKC,5.701970265956156,2013
DEN,4.2285776023578565,2013
MIL,-5.157760944390233,2013
ORL,-7.86813237193815,2013
MEM,4.606642473975723,2013
LAC,2.403032711566877,2013
BRK,2.279458218457627,2013
PHI,-1.5649674375668123,2013
NOP,-5.28190082688705,2013
