team,rating,year
NYK,3.526746514644929,2012
IND,3.2294122758613417,2012
LAL,-0.46952917648130443,2012
DET,-3.4925107647274003,2012
OKC,6.5487341034343265,2012
PHI,-0.1813264009794349,2012
ORL,-3.2203433945156847,2012
HOU,-0.6753760411423866,2012
NOH,-2.2691850870402646,2012
TOR,-3.4783110872897804,2012
POR,-4.689662239519996,2012
MIA,5.803572402806644,2012
ATL,2.0099520225908276,2012
SAC,-4.007195050344086,2012
SAS,8.982272069986491,2012
CHA,-14.415833349319652,2012
DAL,-1.0377767092337837,2012
CLE,-9.474285616106087,2012
MIL,0.15671237423218856,2012
NJN,-7.13353069119769,2012
DEN,0.4975575365943075,2012
UTA,1.6191990655517723,2012
BOS,4.2050437127111175,2012
MEM,0.9212165113497512,2012
GSW,-6.598737401071472,2012
CHI,2.6537473589126646,2012
PHO,2.9449745234139035,2012
WAS,-0.4693127073158458,2012
LAC,2.4386957578336372,2012
MIN,-7.3341431503483285,2012
BRK,-7.13353069119769,2012
